text,label
Адвокат сообщил об аресте бизнес-партнера зятя Березовского,3
В Малгобеке здание ФСБ обстреляли из гранатомета,3
Профессионального игрока в покер из Чебоксар привлекли за неуплату налогов,3
Налетчики в масках устроили погром в казанском торговом центре,3
Во время стрельб на Ставрополье военный случайно убил сослуживца,3
Лжесотрудника СКР задержали за взятку от руководства подмосковной свалки,3
Эфиопские военные освободили похищенных детей,3
В Домодедово пресекли незаконный ввоз 15 детенышей обезьян,3
Семья Ким Чен Нама отдала Малайзии право распоряжаться его телом,3
Американский проповедник-мормон избил напавших на него бразильских грабителей,3
Два террориста-смертника подорвали себя в Бангладеш,3
Полицейские задержали стрелка из французской школы,3
Сомалийские пираты отпустили без выкупа захваченный танкер,3
В США из Норвегии экстрадирован подозреваемый в киберпреступлениях россиянин,3
Офицеры ВМС США выдавали служебную информацию в обмен на секс-вечеринки,3
В Бангладеш произошло столкновение между полицией и демонстрантами,3
Отказавшуюся покидать квартиру знакомой пермячку осудили за избиение участкового,3
Китайская таможня задержала россиянина за контрабанду 50 норковых шкур,3
В Мексике обнаружили массовое захоронение жертв наркокартелей,3
Вор вынес из дома чиновницы соцзащиты Северной Осетии 100 миллионов рублей,3
Школьники насмерть забили американского фламинго в чешском зоопарке,3
Эксперты предположили отравление Ким Чен Нама соединением безвредных веществ,3
В порт Петербурга с грузом бананов прибыла крупная партия кокаина из Эквадора,3
Бывший глава Тайваня предстанет перед судом за разглашение секретных данных,3
В Татарстане задержали 15 экстремистов «Хизб ут-Тахрир»,3
Две женщины и их брат-подросток задержаны за убийство сестры в Москве,3
В Ленобласти в грузовике нашли 266 килограммов гашиша,3
Япония передала Малайзии отпечатки пальцев Ким Чен Нама,3
Трое в масках отняли у курьера две пиццы на востоке Москвы,3
Террорист Карлос Шакал вновь предстанет перед судом,3
В Подмосковье задержана убившая полтора года назад сына женщина,3
Уходивший от погони контрактник Росгвардии ранил полицейского и покончил с собой,3
Россиянин задержан в Швеции по делу о взятке за заключение контракта,3
Маоисты в Индии убили 12 полицейских,3
На вокзале Дюссельдорфа мужчина с топором напал на людей,3
В Базеле преступники застрелили двоих посетителей кафе,3
Российская полиция изъяла у контрабандистов более 200 килограммов гашиша,3
Подозреваемые в мошенничестве раскидали купюры по проезжей части в Москве,3
В Подмосковье задержана забившая семимесячного ребенка до смерти мать,3
Источник связал увольнение главы департамента Минобрнауки Салихова с хищениями,3
